Date,Close/Last,Volume,Open,High,Low
10/24/2022,$102.97,24680830,$102.09,$103.1,$100.3
10/21/2022,$101.48,28988730,$98.46,$101.62,$98.23
10/20/2022,$100.53,25125080,$100.82,$103,$99.97
10/19/2022,$100.29,21573690,$100.7,$101.6592,$99.635
10/18/2022,$101.39,21610540,$103.94,$104.22,$100.65
10/17/2022,$100.78,23311600,$99.52,$101.77,$99.51
10/14/2022,$97.18,22624830,$100.625,$101.29,$97.03
10/13/2022,$99.71,32812220,$95.93,$100.53,$95.27
10/12/2022,$98.3,17343430,$98.27,$99.6476,$97.67
10/11/2022,$98.05,21617730,$98.25,$100.12,$97.25
10/10/2022,$98.71,16529900,$99.85,$99.99,$97.87
10/07/2022,$99.57,24249910,$100.65,$101.42,$99.21
10/06/2022,$102.24,17156240,$101.5,$103.73,$101.5
10/05/2022,$102.22,18475520,$100.69,$102.74,$99.74
10/04/2022,$102.41,22580930,$101.04,$102.72,$101.04
10/03/2022,$99.3,24840030,$97.22,$99.97,$97.02
09/30/2022,$96.15,26277830,$97.73,$99.494,$96.03
09/29/2022,$98.09,21921520,$99.3,$99.3,$96.52
09/28/2022,$100.74,24617000,$98.02,$101.4,$97.8
09/27/2022,$98.09,24224990,$99.91,$100.46,$97.34
09/26/2022,$98.81,22437940,$98.61,$100.44,$98.38
09/23/2022,$99.17,25656960,$100.06,$100.11,$98.01
09/22/2022,$100.57,21272680,$99.45,$101.68,$99.41
09/21/2022,$100.01,26596760,$102.24,$103.49,$99.99
09/20/2022,$101.83,24001670,$102.88,$103.17,$101.12
09/19/2022,$103.85,19738600,$102.54,$104.02,$102.37
09/16/2022,$103.63,64540120,$102.97,$104.03,$101.855
09/15/2022,$103.9,26494930,$105.01,$106.21,$103.31
09/14/2022,$105.87,22115810,$105.44,$106.1,$104.5
09/13/2022,$105.31,33014990,$108.89,$109.37,$105
09/12/2022,$111.87,19732910,$111.99,$112.64,$110.93
09/09/2022,$111.78,21745030,$110.05,$112,$110
09/08/2022,$109.42,21660650,$109.18,$110.58,$108.06
09/07/2022,$110.48,22987180,$107.76,$110.99,$107.615
